/* 
Selezionare tutti i docenti che insegnano nel Dipartimento di Matematica
*/

SELECT *
FROM teachers
JOIN course_teacher ON course_teacher.teacher_id = teachers.id
JOIN courses ON courses.id = course_teacher.course_id
JOIN degrees ON degrees.id = courses.degree_id
WHERE degrees.department_id = 5

id,name,surname,phone,email,office_address,office_number,course_id,teacher_id,id,degree_id,name,description,period,year,cfu,website,id,department_id,name,level,address,email,website
98,Cristyn,Martinelli,NULL,nicoletta67@longo.com,"Contrada Amato 58 Piano 2",1,466,98,466,28,"ipsam sed rem","Et et esse nam. Aut minus distinctio voluptates nisi modi eaque. Eaque voluptas inventore veniam. Et sint cum et.","I semestre",1,9,NULL,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
51,Folco,Piras,NULL,gregorio.valentini@gmail.com,"Strada Neri 577",107,467,51,467,28,"vel beatae illum","Natus eligendi tempora quia amet in. Rerum in tempore numquam libero aut qui. Et nulla nostrum consectetur eius. Qui animi et sint ullam.","I semestre",1,5,www.incidunt.uni.it,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
78,Kristel,Bellini,NULL,lamberto29@palmieri.org,"Strada Concetta 6",91,468,78,468,28,"et non molestiae","Magni tenetur repellat non dolorum dolorum. Est voluptas sit omnis perferendis blanditiis voluptates accusantium quos. Dignissimos et ipsam earum iure explicabo et ea omnis.","I semestre",1,9,NULL,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
25,Concetta,Bianchi,"+58 211 72300216",giobbe99@libero.it,"Strada Kociss 997 Piano 8",124,469,25,469,28,"autem voluptas ab","Illum qui consequatur non amet repellat tempora quo provident. Totam esse perspiciatis quo quibusdam rem reprehenderit rerum. Veritatis ad vero aut molestiae nihil et quia.","II semestre",1,9,NULL,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
13,Tosca,Donati,"+97 9502 52491933",marco26@yahoo.it,"Rotonda Martinelli 309",119,470,13,470,28,"quam et ut","Dignissimos nam numquam quis deleniti et non. Qui corporis et aliquam vitae laboriosam. Nihil non voluptatibus qui sunt. Ad illum fugiat omnis ex officia.","II semestre",1,5,NULL,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
73,Elda,Bruno,"+62 35 8488435",diamante.monti@battaglia.it,"Piazza Ferretti 619",101,471,73,471,28,"numquam amet eaque","Voluptas voluptas saepe nihil. Consequuntur neque illo aut dolores quo. Libero sunt quia impedit asperiores. Quia ipsam omnis sint eligendi. Molestiae rerum consectetur aspernatur cupiditate ipsa.","I semestre",2,9,NULL,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
45,Eusebio,Pellegrini,"+16 76 8795400",prisca.giuliani@santoro.com,"Borgo Elio 234 Piano 4",106,472,45,472,28,"modi harum omnis","Suscipit voluptatem temporibus consequatur. Dolor natus voluptatem iure distinctio mollitia. In totam facilis culpa aspernatur quibusdam quidem. Unde qui veniam explicabo aut ea.","I semestre",2,7,www.et.uni.it,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
19,Ione,Mariani,NULL,qriva@amato.com,"Strada Neri 577",76,473,19,473,28,"quas quo rem","Consectetur sit sed ut quis nihil quod. Iusto sit iusto ea officiis ut est. Dicta iste ut aut. Et et corporis quaerat exercitationem corrupti qui voluptas.","I semestre",2,13,www.sequi.uni.it,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
92,Mariagiulia,Guerra,"+39 314 686 094",leone07@desantis.net,"Rotonda Carmela 10 Piano 1",33,474,92,474,28,"ut dolores maiores","Officia consectetur illo et voluptatem nulla quae et quis. Ab in perferendis qui placeat maxime. Repellendus doloribus totam qui animi.","I semestre",2,14,www.aut.uni.it,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
67,Ivonne,Neri,"+61 72 18587184",sorrentino.violante@hotmail.com,"Via Elga 7 Piano 4",138,475,67,475,28,"facere ad rerum","Omnis mollitia odit ab. Aperiam est non et iste qui placeat perspiciatis voluptatem. Repudiandae sint sapiente quisquam odio voluptatem qui praesentium amet.","II semestre",2,14,www.optio.uni.it,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
38,Rufo,Morelli,NULL,zelida16@email.it,"Piazza Pellegrino 613 Piano 8",161,476,38,476,28,"quidem rerum illum","Et voluptates harum enim officia. Repellendus magni laborum laborum amet. Facere officia necessitatibus occaecati labore saepe quidem.","II semestre",2,12,NULL,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
87,Gianantonio,Monti,"+39 076 918 693",mariagiulia.riva@gmail.com,"Contrada Amato 58 Piano 2",112,477,87,477,28,"ea ut ut","Quasi non consequatur sed sunt delectus numquam. Consequatur architecto ab nostrum ex similique eligendi architecto. Sequi ea et totam est placeat. Est aliquam minima nisi ut quis.","II semestre",2,6,NULL,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
33,Cassiopea,Valentini,NULL,romeo94@battaglia.it,"Contrada Rita 5 Appartamento 71",21,478,33,478,28,"vel molestiae sed","Nisi est quaerat repudiandae sint qui laudantium. Eius ut quos esse numquam. Fugit et illo at molestiae molestias porro.","II semestre",2,14,NULL,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
89,Piererminio,Greco,NULL,gaetano.barone@yahoo.it,"Via Mariano 48",129,479,89,479,28,"et doloribus aut","Itaque corporis eos occaecati impedit. Enim consectetur fuga ad molestiae sit dolor. Et nihil consequatur nobis.","I semestre",3,8,www.voluptatem.uni.it,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
10,Maria,Esposito,"+30 91 02098027",caruso.davide@yahoo.it,"Strada Vitali 8 Piano 0",128,480,10,480,28,"reprehenderit dolores necessitatibus","Accusantium qui consequatur corporis recusandae dolores. Dolor veniam provident esse earum. Sit doloremque dolores nemo distinctio. Repellendus ut tenetur quidem reprehenderit dolor aut.","I semestre",3,8,NULL,28,5,"Corso di Laurea in Matematica",triennale,"Strada Sorrentino 665",matematica@uni.it,www.matematica.uni.it
