/* 
Selezionare tutti gli studenti iscritti al Corso di Laurea in Economia
*/

SELECT *
FROM students
JOIN degrees ON degree_id = degrees.id
WHERE degrees.name = "Corso di Laurea in Diritto dell'Economia"

id,degree_id,name,surname,date_of_birth,fiscal_code,enrolment_date,registration_number,email,id,department_id,name,level,address,email,website
12,58,Gabriele,Vitale,1973-01-22,OWOIMP20H19Y297D,2020-12-30,620044,irene.giordano@libero.it,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
207,58,Carmela,Gallo,2000-09-05,WJJAYY37C39J095M,2020-02-23,620239,helga91@libero.it,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
231,58,Ursula,Sala,1977-09-28,ARHQWA82W12N945S,2020-10-03,620263,kgalli@yahoo.it,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
363,58,Olo,Negri,1998-05-24,KLVSSK34J90B606Y,2020-12-16,620395,liborio05@email.it,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
599,58,Ileana,Martino,1978-08-14,RFWUCA61P80X016H,2019-03-28,620631,cosetta26@hotmail.com,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
627,58,Rocco,Conte,1997-07-06,OWEKOD00J36V424D,2020-04-05,620659,fiore.marvin@morelli.it,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
659,58,Enrico,Martinelli,1984-11-16,YHFWEZ62A63R702R,2018-06-23,620691,loretta.mazza@bruno.net,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
672,58,Manfredi,Amato,1985-12-17,SLQTGY48W17F724V,2021-05-27,620704,piras.graziano@ferrari.com,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
708,58,Guendalina,Valentini,1998-10-13,BVZEVU11H55L269P,2019-09-25,620740,edilio.lombardi@barbieri.com,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
713,58,Mirko,Moretti,1973-05-30,JTWCZJ87V25X026U,2019-01-09,620745,diana.martinelli@morelli.net,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
739,58,Ingrid,Costantini,2001-12-26,MRIYVE36L03C563W,2019-08-25,620771,fmoretti@gmail.com,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
841,58,Radio,Ferrari,1982-06-28,KBQTUG77X97B006S,2020-09-25,620873,artes.russo@hotmail.com,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
931,58,Jole,Palmieri,1984-03-22,XQANOX12V16B961H,2020-04-21,620963,maggiore78@gmail.com,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
969,58,Yago,Mancini,1980-09-11,NKLFWB02U40I459J,2020-04-03,621001,mbellini@hotmail.com,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
1050,58,Samira,Messina,1976-07-12,RVSOZK28E87X644J,2020-08-29,621082,costantini.ermes@libero.it,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
1207,58,Arturo,Basile,1983-12-26,DQKUSU82F39L045G,2018-12-05,621239,ingrid.giuliani@yahoo.com,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
1289,58,Donatella,Gatti,1985-01-02,EQWNIG51I49R327W,2018-10-12,621321,battista29@ferri.it,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
1322,58,Mirko,Bianchi,1983-01-14,RQUFRQ28E46X480I,2019-09-03,621354,folco02@pagano.net,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
1367,58,Benedetta,Sorrentino,1988-03-24,FKPFLG55D00A990U,2019-11-01,621399,dangelo.assia@yahoo.it,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
1470,58,Laerte,Ferraro,1983-07-21,MJPEQW28O36J946E,2020-11-11,621502,mazza.sueellen@yahoo.com,58,10,"Corso di Laurea in Diritto dell'Economia",triennale,"Strada Miriana 2 Appartamento 06",diritto-delleconomia@uni.it,www.diritto-delleconomia.uni.it
