/* 
Selezionare tutti i corsi di laurea con i relativi corsi e insegnanti
*/

SELECT *
FROM degrees
JOIN courses ON courses.degree_id = degrees.id
JOIN course_teacher ON course_teacher.course_id = courses.id
JOIN teachers ON course_teacher.teacher_id = teachers.id

id,department_id,name,level,address,email,website,id,degree_id,name,description,period,year,cfu,website,course_id,teacher_id,id,name,surname,phone,email,office_address,office_number
6,1,"Corso di Laurea Magistrale in Biologia marina",magistrale,"Via Colombo 378 Piano 9",biologia-marina@uni.it,www.biologia-marina.uni.it,99,6,"corporis consequatur labore","Sed modi ad qui consequatur nihil numquam. Laborum eos aut perferendis consectetur veritatis voluptatum. Harum est nesciunt natus placeat quia deserunt. Earum eum ipsam placeat dolor unde est error.","I semestre",1,9,NULL,99,1,1,Artemide,Rizzi,"+87 81 28355927",jarno26@bianchi.it,"Contrada Penelope 73",161
15,3,"Corso di Laurea in Ingegneria Civile",triennale,"Rotonda Felicia 485 Piano 1",ingegneria-civile@uni.it,www.ingegneria-civile.uni.it,243,15,"est ratione qui","Nesciunt corporis at vel vel qui et. Voluptatibus sequi dolores earum suscipit.","I semestre",2,8,NULL,243,1,1,Artemide,Rizzi,"+87 81 28355927",jarno26@bianchi.it,"Contrada Penelope 73",161
41,7,"Corso di Laurea in Logopedia",triennale,"Strada Lisa 27",logopedia@uni.it,www.logopedia.uni.it,723,41,"eligendi aut vel","Odit dolorem nihil id eum. Id est nesciunt neque eligendi ullam et. Possimus minus incidunt laudantium et.","II semestre",1,5,www.qui.uni.it,723,1,1,Artemide,Rizzi,"+87 81 28355927",jarno26@bianchi.it,"Contrada Penelope 73",161
49,8,"Corso di Laurea Magistrale in Chimica",magistrale,"Strada Soriana 951",chimica@uni.it,www.chimica.uni.it,883,49,"voluptatem fuga incidunt","Temporibus quo consectetur ratione provident dolor aut deserunt. Consequatur dignissimos autem adipisci necessitatibus voluptas dolor dolorum quaerat. Necessitatibus maiores et totam exercitationem.","II semestre",1,13,www.placeat.uni.it,883,1,1,Artemide,Rizzi,"+87 81 28355927",jarno26@bianchi.it,"Contrada Penelope 73",161
53,9,"Corso di Laurea in Economia",triennale,"Via Edvige 422",economia@uni.it,www.economia.uni.it,962,53,"omnis culpa voluptatem","Voluptatem repellendus ex ducimus. Est fuga minus hic labore. Nam accusantium et debitis ea et vitae.","II semestre",3,11,www.libero.uni.it,962,1,1,Artemide,Rizzi,"+87 81 28355927",jarno26@bianchi.it,"Contrada Penelope 73",161
63,10,"Corso di Laurea Magistrale in Innovazione e Servizio Sociale",magistrale,"Incrocio Lombardi 6 Appartamento 60",innovazione-e-servizio-sociale@uni.it,www.innovazione-e-servizio-sociale.uni.it,1106,63,"nobis vitae reprehenderit","Autem explicabo quia voluptates esse dolores id vero. Animi fuga ducimus fugiat sit quis eum ratione. Placeat dicta quia beatae suscipit. Labore adipisci optio et rerum.","II semestre",1,6,NULL,1106,1,1,Artemide,Rizzi,"+87 81 28355927",jarno26@bianchi.it,"Contrada Penelope 73",161
73,12,"Corso di Laurea Magistrale in Lingue Moderne per la Comunicazione e la Cooperazione Internazionale",magistrale,"Incrocio Donatella 72 Appartamento 53",lingue-moderne-per-la-comunicazione-e-la-cooperazione-internazionale@uni.it,www.lingue-moderne-per-la-comunicazione-e-la-cooperazione-internazionale.uni.it,1286,73,"saepe quod id","Quae sunt mollitia eveniet cum. Ut libero rerum ex et id et dignissimos. Odit magnam quidem quis dolor dolorum beatae. Quo magnam a error deserunt nesciunt. Magni dolorem est et est et qui quo ipsa.","II semestre",2,5,www.similique.uni.it,1286,1,1,Artemide,Rizzi,"+87 81 28355927",jarno26@bianchi.it,"Contrada Penelope 73",161
2,1,"Corso di Laurea in Biologia molecolare",triennale,"Incrocio Fabbri 3",biologia-molecolare@uni.it,www.biologia-molecolare.uni.it,35,2,"aut consequatur sit","Eveniet voluptatem et voluptas. Dolore id doloribus ut aliquam exercitationem molestiae. Nisi perferendis rerum et dolorem libero est non aspernatur. Dicta provident et dignissimos explicabo facilis.","II semestre",2,3,NULL,35,2,2,Gianantonio,Battaglia,NULL,grizzi@costa.it,"Incrocio Marini 9",28
16,3,"Corso di Laurea in Ingegneria per l'Ambiente e il Territorio",triennale,"Borgo Nestore 88 Piano 7",ingegneria-per-lambiente-e-il-territorio@uni.it,www.ingegneria-per-lambiente-e-il-territorio.uni.it,265,16,"laudantium sunt consequatur","Esse provident saepe itaque sequi dolores molestiae sint. Rerum exercitationem vel consequatur harum dolores. Et laboriosam commodi sed cum nulla.","I semestre",2,4,NULL,265,2,2,Gianantonio,Battaglia,NULL,grizzi@costa.it,"Incrocio Marini 9",28
22,4,"Corso di Laurea in Ingegneria Elettronica",triennale,"Contrada Patrizio 91 Appartamento 25",ingegneria-elettronica@uni.it,www.ingegneria-elettronica.uni.it,382,22,"corrupti enim praesentium","Quidem omnis excepturi nihil odit iusto harum. Ullam dignissimos facilis ut ullam omnis. Hic ad molestiae harum voluptatem consequatur. Ut adipisci maiores similique ut autem est eum.","II semestre",1,14,NULL,382,2,2,Gianantonio,Battaglia,NULL,grizzi@costa.it,"Incrocio Marini 9",28
23,4,"Corso di Laurea Magistrale in Bioingegneria",magistrale,"Contrada Sibilla 626",bioingegneria@uni.it,www.bioingegneria.uni.it,409,23,"architecto id cum","Officia dolorem esse debitis culpa nobis quas dolores. Voluptas a soluta vitae veritatis debitis ducimus ratione. Repellendus quo eaque libero harum. Nam earum impedit temporibus eum.","I semestre",2,13,NULL,409,2,2,Gianantonio,Battaglia,NULL,grizzi@costa.it,"Incrocio Marini 9",28
33,6,"Corso di Laurea in Infermieristica",triennale,"Incrocio Gentile 507 Appartamento 78",infermieristica@uni.it,www.infermieristica.uni.it,564,33,"rerum reiciendis quam","Beatae eaque molestias consequatur ut. Dolor corporis laudantium ducimus sit non accusamus. Perferendis sint id ipsam vel illo in praesentium maiores. Sed consequatur voluptatem ullam est eligendi.","I semestre",2,3,NULL,564,2,2,Gianantonio,Battaglia,NULL,grizzi@costa.it,"Incrocio Marini 9",28
34,6,"Corso di Laurea in Tecniche di Laboratorio Biomedico",triennale,"Rotonda Fernando 68 Appartamento 67",tecniche-di-laboratorio-biomedico@uni.it,www.tecniche-di-laboratorio-biomedico.uni.it,580,34,"eius animi atque","Sed assumenda recusandae maiores harum iusto labore reiciendis. Aut porro id sit saepe. Nemo non ea ea doloribus nam aut odio. Enim veniam soluta et dolor et.","I semestre",1,7,www.est.uni.it,580,2,2,Gianantonio,Battaglia,NULL,grizzi@costa.it,"Incrocio Marini 9",28
38,7,"Corso di Laurea in Educazione Professionale",triennale,"Rotonda Davis 720",educazione-professionale@uni.it,www.educazione-professionale.uni.it,668,38,"similique id non","Quibusdam corrupti labore fugiat est fuga. Laborum nostrum cupiditate delectus vitae error.","II semestre",3,13,NULL,668,2,2,Gianantonio,Battaglia,NULL,grizzi@costa.it,"Incrocio Marini 9",28
39,7,"Corso di Laurea in Fisioterapia",triennale,"Strada Parisi 5",fisioterapia@uni.it,www.fisioterapia.uni.it,682,39,"et in aspernatur","Quis suscipit eveniet ducimus ullam rem alias. Esse aliquam harum iusto. Qui qui veritatis similique mollitia voluptas.","II semestre",2,12,NULL,682,2,2,Gianantonio,Battaglia,NULL,grizzi@costa.it,"Incrocio Marini 9",28
69,12,"Corso di Laurea in Lettere",triennale,"Rotonda Moretti 6",lettere@uni.it,www.lettere.uni.it,1195,69,"facilis magnam rem","Voluptate porro est amet dolorem. Sint odit consequatur at quas doloremque. Dignissimos harum beatae omnis voluptatem magni numquam accusamus.","I semestre",1,12,NULL,1195,2,2,Gianantonio,Battaglia,NULL,grizzi@costa.it,"Incrocio Marini 9",28
